CMDLINE python -u main_sequence.py --total_num_scenes 24 --agent rl --exp_name sequence6-5 --env sequence --sim_gpu_id 1 --task_config tasks/sequence_gibson.yaml --split train --panorama --num_training_frames 1000 --num_local_steps 50 --max_episode_length_straight 50 --sem_pred_prob_thr 0.7
MEM 896.347656 1775559749.8389
MEM 899.496094 1775559749.9794
MEM 904.492188 1775559750.1151
MEM 913.558594 1775559750.2506
MEM 926.636719 1775559750.3863
MEM 938.917969 1775559750.5218
MEM 946.148438 1775559750.6570
MEM 953.613281 1775559750.7922
MEM 960.707031 1775559750.9272
MEM 965.910156 1775559751.0622
MEM 972.847656 1775559751.2009
MEM 978.289062 1775559751.3391
MEM 978.546875 1775559751.4769
MEM 979.546875 1775559751.6148
MEM 980.507812 1775559751.7525
MEM 982.234375 1775559751.8903
MEM 985.167969 1775559752.0291
MEM 990.394531 1775559752.1670
MEM 993.195312 1775559752.3053
MEM 998.066406 1775559752.4433
MEM 1002.527344 1775559752.5812
MEM 1004.882812 1775559752.7195
MEM 1011.484375 1775559752.8575
MEM 1018.394531 1775559752.9893
MEM 1023.417969 1775559753.1272
MEM 1051.894531 1775559753.2652
MEM 1052.593750 1775559753.4041
MEM 1052.652344 1775559753.5425
MEM 1060.390625 1775559753.6809
MEM 1072.417969 1775559753.8196
MEM 1078.957031 1775559753.9589
MEM 1083.769531 1775559754.0993
MEM 1092.457031 1775559754.2349
MEM 1102.234375 1775559754.3703
MEM 1121.171875 1775559754.5095
MEM 1121.687500 1775559754.6444
MEM 1121.687500 1775559754.7829
MEM 1124.531250 1775559754.9216
MEM 1163.531250 1775559755.0401
MEM 1165.582031 1775559755.1749
MEM 1167.164062 1775559755.3101
MEM 1184.121094 1775559755.4453
MEM 1267.289062 1775559755.5815
MEM 1318.929688 1775559755.7173
MEM 1357.093750 1775559755.8529
MEM 1410.726562 1775559755.9934
MEM 1463.140625 1775559756.1289
MEM 1522.839844 1775559756.2645
MEM 1586.750000 1775559756.3997
MEM 1643.277344 1775559756.5347
MEM 1728.308594 1775559756.6701
MEM 1801.300781 1775559756.8055
MEM 1857.660156 1775559756.9407
MEM 1909.121094 1775559757.0761
MEM 1954.765625 1775559757.2114
MEM 2027.519531 1775559757.3501
MEM 2124.402344 1775559757.4888
MEM 2139.820312 1775559757.6277
MEM 2192.457031 1775559757.7630
MEM 2240.671875 1775559757.8989
MEM 2285.046875 1775559758.0362
MEM 2336.792969 1775559758.1721
MEM 2384.125000 1775559758.3081
MEM 2434.765625 1775559758.4437
MEM 2477.843750 1775559758.5791
MEM 2532.503906 1775559758.7181
MEM 2570.585938 1775559758.8542
MEM 2571.484375 1775559758.9925
MEM 2592.027344 1775559759.1320
MEM 4589.382812 1775559759.2851
MEM 5472.242188 1775559759.4246
MEM 6859.050781 1775559759.5614
MEM 8191.648438 1775559759.7013
MEM 8508.601562 1775559759.8394
MEM 8779.554688 1775559759.9772
MEM 9184.347656 1775559760.1163
MEM 9415.957031 1775559760.2555
MEM 9714.480469 1775559760.3944
MEM 9944.765625 1775559760.5342
MEM 10089.417969 1775559760.6753
MEM 10625.222656 1775559760.8130
MEM 11702.601562 1775559760.9502
MEM 12609.671875 1775559761.0888
MEM 12821.707031 1775559761.2295
MEM 13485.488281 1775559761.3670
MEM 13895.664062 1775559761.5063
MEM 14414.675781 1775559761.6466
MEM 14640.281250 1775559761.7893
MEM 14756.101562 1775559761.9270
MEM 15030.351562 1775559762.0646
MEM 15191.910156 1775559762.2018
MEM 15347.843750 1775559762.3399
MEM 15431.031250 1775559762.4776
MEM 15500.343750 1775559762.6194
